stress,strain,time
261.8058063906492,0.27708666350000005,19.5375
261.78357398281526,0.27708667275000004,19.55625
261.76144603684253,0.277086682,19.575
261.7394220620187,0.27708669125,19.59375
261.71750157008404,0.2770867005,19.612499999999997
261.69568407499906,0.27708670975,19.631249999999998
261.6740389272752,0.277086719,19.65
261.6525654165854,0.27708677374999996,19.66875
261.6311930015961,0.2770868285,19.6875
261.609921207479,0.27708688324999997,19.70625
261.58874956161185,0.27708693799999995,19.725
261.56767759366625,0.27708699275,19.74375
261.54670483547307,0.27708704749999996,19.7625
261.52583082101324,0.27708710225,19.78125
261.505536060805,0.277087157,19.8
261.485818516932,0.27708752512499996,19.81875
261.4661951868486,0.27708789325,19.8375
261.4466656280502,0.277088261375,19.85625
261.42722940006047,0.2770886295,19.875
261.4078860645466,0.277088997625,19.89375
261.3886351851852,0.27708936575,19.9125
261.3694763277758,0.277089733875,19.93125
261.349942858478,0.277090102,19.95
261.3300358749119,0.277090166375,19.96875
261.3102226713215,0.27709023075,19.987499999999997
261.29050280723976,0.27709029512500005,20.006249999999998
261.27087584421844,0.2770903595,20.025
261.25134134594333,0.277090423875,20.04375
261.2318988780996,0.27709048825,20.0625
261.21254800848675,0.277090552625,20.081249999999997
261.19280292000167,0.277090617,20.099999999999998
261.1726647751462,0.27709036512499996,20.11875
261.1526201179184,0.27709011325,20.1375
261.13266850919933,0.277089861375,20.15625
261.1128095120066,0.27708960949999994,20.174999999999997
261.09304269136123,0.277089357625,20.193749999999998
261.07336761427746,0.27708910575,20.2125
261.05378384987733,0.277088853875,20.23125
261.03454613313744,0.277088602,20.25
261.01565320094875,0.27708851637500004,20.26875
260.9968486322555,0.27708843075,20.2875
260.9781320120796,0.277088345125,20.30625
260.95950292734324,0.27708825950000004,20.325
260.9409609668344,0.277088173875,20.34375
260.9225057214208,0.27708808825,20.362499999999997
260.9041367838177,0.277088002625,20.381249999999998
260.8863450829147,0.277087917,20.4
260.86912860502736,0.2770881515,20.41875
260.851994011593,0.27708838599999996,20.4375
260.83494091801566,0.2770886205,20.45625
260.8179689414804,0.277088855,20.475
260.8010777010447,0.2770890895,20.49375
260.78426681750636,0.27708932399999997,20.5125
260.7675359133942,0.27708955849999994,20.53125
260.7504846005743,0.277089793,20.55
260.7331138160914,0.277089766875,20.56875
260.715824505174,0.27708974075,20.5875
260.6986162851556,0.277089714625,20.60625
260.68148877511805,0.2770896885,20.625
260.66444159600593,0.277089662375,20.64375
260.647474370495,0.27708963625,20.6625
260.6305867231071,0.277089610125,20.68125
260.6138085927773,0.277089584,20.7
260.59713950808015,0.277089577625,20.71875
260.580548687253,0.27708957125,20.737499999999997
260.5640357627054,0.277089564875,20.756249999999998
260.5476003685232,0.2770895585,20.775
260.5312421405855,0.27708955212499997,20.79375
260.51496071643203,0.27708954575,20.8125
260.4987557353783,0.277089539375,20.831249999999997
260.4829836840782,0.277089533,20.849999999999998
260.46764303564527,0.277089759125,20.86875
260.45237542474564,0.27708998525,20.8875
260.43718050831086,0.277090211375,20.90625
260.42205794495777,0.27709043749999995,20.924999999999997
260.40700739485754,0.277090663625,20.943749999999998
